Freq.	V(vo)
1.63601097885853e+002	(-2.64205437465640e-001dB,-1.43545136659448e+001°)
1.63977860170071e+002	(-2.65396062645643e-001dB,-1.43865189956360e+001°)
1.64355490112395e+002	(-2.66591931266308e-001dB,-1.44185910522533e+001°)
1.64733989710985e+002	(-2.67793065346044e-001dB,-1.44507299445227e+001°)
1.65113360968598e+002	(-2.68999486986432e-001dB,-1.44829357811464e+001°)
1.65493605892607e+002	(-2.70211218372415e-001dB,-1.45152086708008e+001°)
1.65874726495008e+002	(-2.71428281772574e-001dB,-1.45475487221352e+001°)
1.66256724792427e+002	(-2.72650699539354e-001dB,-1.45799560437698e+001°)
1.66639602806138e+002	(-2.73878494109273e-001dB,-1.46124307442945e+001°)
1.67023362562067e+002	(-2.75111688003183e-001dB,-1.46449729322673e+001°)
1.67408006090808e+002	(-2.76350303826495e-001dB,-1.46775827162123e+001°)
1.67793535427629e+002	(-2.77594364269404e-001dB,-1.47102602046184e+001°)
1.68179952612487e+002	(-2.78843892107134e-001dB,-1.47430055059376e+001°)
1.68567259690037e+002	(-2.80098910200181e-001dB,-1.47758187285831e+001°)
1.68955458709639e+002	(-2.81359441494511e-001dB,-1.48086999809282e+001°)
1.69344551725378e+002	(-2.82625509021831e-001dB,-1.48416493713040e+001°)
1.69734540796066e+002	(-2.83897135899809e-001dB,-1.48746670079980e+001°)
1.70125427985256e+002	(-2.85174345332293e-001dB,-1.49077529992526e+001°)
1.70517215361255e+002	(-2.86457160609571e-001dB,-1.49409074532631e+001°)
1.70909904997133e+002	(-2.87745605108567e-001dB,-1.49741304781758e+001°)
1.71303498970733e+002	(-2.89039702293125e-001dB,-1.50074221820870e+001°)
1.71697999364684e+002	(-2.90339475714192e-001dB,-1.50407826730406e+001°)
1.72093408266411e+002	(-2.91644949010074e-001dB,-1.50742120590266e+001°)
1.72489727768146e+002	(-2.92956145906671e-001dB,-1.51077104479792e+001°)
1.72886959966938e+002	(-2.94273090217695e-001dB,-1.51412779477754e+001°)
1.73285106964669e+002	(-2.95595805844913e-001dB,-1.51749146662326e+001°)
1.73684170868058e+002	(-2.96924316778378e-001dB,-1.52086207111077e+001°)
1.74084153788676e+002	(-2.98258647096655e-001dB,-1.52423961900942e+001°)
1.74485057842959e+002	(-2.99598820967043e-001dB,-1.52762412108214e+001°)
1.74886885152216e+002	(-3.00944862645844e-001dB,-1.53101558808520e+001°)
1.75289637842639e+002	(-3.02296796478546e-001dB,-1.53441403076803e+001°)
1.75693318045320e+002	(-3.03654646900077e-001dB,-1.53781945987307e+001°)
1.76097927896256e+002	(-3.05018438435042e-001dB,-1.54123188613554e+001°)
1.76503469536365e+002	(-3.06388195697943e-001dB,-1.54465132028329e+001°)
1.76909945111495e+002	(-3.07763943393389e-001dB,-1.54807777303658e+001°)
1.77317356772434e+002	(-3.09145706316374e-001dB,-1.55151125510794e+001°)
1.77725706674925e+002	(-3.10533509352462e-001dB,-1.55495177720191e+001°)
1.78134996979675e+002	(-3.11927377478034e-001dB,-1.55839935001492e+001°)
1.78545229852367e+002	(-3.13327335760519e-001dB,-1.56185398423503e+001°)
1.78956407463671e+002	(-3.14733409358604e-001dB,-1.56531569054182e+001°)
1.79368531989257e+002	(-3.16145623522489e-001dB,-1.56878447960612e+001°)
1.79781605609803e+002	(-3.17564003594098e-001dB,-1.57226036208982e+001°)
1.80195630511013e+002	(-3.18988575007300e-001dB,-1.57574334864575e+001°)
1.80610608883620e+002	(-3.20419363288149e-001dB,-1.57923344991738e+001°)
1.81026542923406e+002	(-3.21856394055112e-001dB,-1.58273067653870e+001°)
1.81443434831207e+002	(-3.23299693019279e-001dB,-1.58623503913397e+001°)
1.81861286812928e+002	(-3.24749285984600e-001dB,-1.58974654831756e+001°)
1.82280101079556e+002	(-3.26205198848111e-001dB,-1.59326521469371e+001°)
1.82699879847166e+002	(-3.27667457600157e-001dB,-1.59679104885634e+001°)
1.83120625336941e+002	(-3.29136088324610e-001dB,-1.60032406138887e+001°)
1.83542339775175e+002	(-3.30611117199106e-001dB,-1.60386426286397e+001°)
1.83965025393291e+002	(-3.32092570495248e-001dB,-1.60741166384339e+001°)
1.84388684427852e+002	(-3.33580474578851e-001dB,-1.61096627487773e+001°)
1.84813319120570e+002	(-3.35074855910160e-001dB,-1.61452810650625e+001°)
1.85238931718319e+002	(-3.36575741044057e-001dB,-1.61809716925665e+001°)
1.85665524473149e+002	(-3.38083156630297e-001dB,-1.62167347364485e+001°)
1.86093099642295e+002	(-3.39597129413731e-001dB,-1.62525703017479e+001°)
1.86521659488192e+002	(-3.41117686234509e-001dB,-1.62884784933820e+001°)
1.86951206278483e+002	(-3.42644854028316e-001dB,-1.63244594161443e+001°)
1.87381742286034e+002	(-3.44178659826596e-001dB,-1.63605131747017e+001°)
1.87813269788947e+002	(-3.45719130756745e-001dB,-1.63966398735927e+001°)
1.88245791070568e+002	(-3.47266294042363e-001dB,-1.64328396172254e+001°)
1.88679308419502e+002	(-3.48820177003448e-001dB,-1.64691125098748e+001°)
1.89113824129626e+002	(-3.50380807056623e-001dB,-1.65054586556810e+001°)
1.89549340500097e+002	(-3.51948211715348e-001dB,-1.65418781586468e+001°)
1.89985859835369e+002	(-3.53522418590141e-001dB,-1.65783711226355e+001°)
1.90423384445201e+002	(-3.55103455388789e-001dB,-1.66149376513689e+001°)
1.90861916644675e+002	(-3.56691349916570e-001dB,-1.66515778484245e+001°)
1.91301458754199e+002	(-3.58286130076459e-001dB,-1.66882918172339e+001°)
1.91742013099530e+002	(-3.59887823869339e-001dB,-1.67250796610799e+001°)
1.92183582011778e+002	(-3.61496459394231e-001dB,-1.67619414830948e+001°)
1.92626167827421e+002	(-3.63112064848489e-001dB,-1.67988773862575e+001°)
1.93069772888321e+002	(-3.64734668528019e-001dB,-1.68358874733918e+001°)
1.93514399541729e+002	(-3.66364298827486e-001dB,-1.68729718471636e+001°)
1.93960050140305e+002	(-3.68000984240538e-001dB,-1.69101306100787e+001°)
1.94406727042124e+002	(-3.69644753359990e-001dB,-1.69473638644808e+001°)
1.94854432610695e+002	(-3.71295634878054e-001dB,-1.69846717125485e+001°)
1.95303169214967e+002	(-3.72953657586541e-001dB,-1.70220542562935e+001°)
1.95752939229345e+002	(-3.74618850377071e-001dB,-1.70595115975580e+001°)
1.96203745033704e+002	(-3.76291242241262e-001dB,-1.70970438380121e+001°)
1.96655589013399e+002	(-3.77970862270973e-001dB,-1.71346510791518e+001°)
1.97108473559275e+002	(-3.79657739658462e-001dB,-1.71723334222964e+001°)
1.97562401067688e+002	(-3.81351903696635e-001dB,-1.72100909685860e+001°)
1.98017373940510e+002	(-3.83053383779212e-001dB,-1.72479238189791e+001°)
1.98473394585144e+002	(-3.84762209400959e-001dB,-1.72858320742503e+001°)
1.98930465414538e+002	(-3.86478410157856e-001dB,-1.73238158349875e+001°)
1.99388588847196e+002	(-3.88202015747350e-001dB,-1.73618752015899e+001°)
1.99847767307193e+002	(-3.89933055968498e-001dB,-1.74000102742650e+001°)
2.00308003224187e+002	(-3.91671560722207e-001dB,-1.74382211530266e+001°)
2.00769299033427e+002	(-3.93417560011392e-001dB,-1.74765079376919e+001°)
2.01231657175776e+002	(-3.95171083941237e-001dB,-1.75148707278792e+001°)
2.01695080097714e+002	(-3.96932162719322e-001dB,-1.75533096230052e+001°)
2.02159570251357e+002	(-3.98700826655856e-001dB,-1.75918247222827e+001°)
2.02625130094468e+002	(-4.00477106163865e-001dB,-1.76304161247178e+001°)
2.03091762090469e+002	(-4.02261031759399e-001dB,-1.76690839291075e+001°)
2.03559468708456e+002	(-4.04052634061686e-001dB,-1.77078282340369e+001°)
2.04028252423210e+002	(-4.05851943793356e-001dB,-1.77466491378769e+001°)
2.04498115715213e+002	(-4.07658991780649e-001dB,-1.77855467387814e+001°)
2.04969061070659e+002	(-4.09473808953532e-001dB,-1.78245211346849e+001°)
2.05441090981466e+002	(-4.11296426345974e-001dB,-1.78635724232995e+001°)
2.05914207945293e+002	(-4.13126875096087e-001dB,-1.79027007021126e+001°)
2.06388414465549e+002	(-4.14965186446302e-001dB,-1.79419060683841e+001°)
2.06863713051408e+002	(-4.16811391743592e-001dB,-1.79811886191437e+001°)
2.07340106217825e+002	(-4.18665522439624e-001dB,-1.80205484511885e+001°)
2.07817596485544e+002	(-4.20527610090964e-001dB,-1.80599856610798e+001°)
2.08296186381116e+002	(-4.22397686359237e-001dB,-1.80995003451411e+001°)
2.08775878436909e+002	(-4.24275783011336e-001dB,-1.81390925994546e+001°)
2.09256675191124e+002	(-4.26161931919583e-001dB,-1.81787625198594e+001°)
2.09738579187807e+002	(-4.28056165061895e-001dB,-1.82185102019477e+001°)
2.10221592976863e+002	(-4.29958514522010e-001dB,-1.82583357410629e+001°)
2.10705719114068e+002	(-4.31869012489596e-001dB,-1.82982392322967e+001°)
2.11190960161085e+002	(-4.33787691260480e-001dB,-1.83382207704859e+001°)
2.11677318685476e+002	(-4.35714583236810e-001dB,-1.83782804502101e+001°)
2.12164797260716e+002	(-4.37649720927208e-001dB,-1.84184183657887e+001°)
2.12653398466207e+002	(-4.39593136946956e-001dB,-1.84586346112782e+001°)
2.13143124887290e+002	(-4.41544864018176e-001dB,-1.84989292804692e+001°)
2.13633979115260e+002	(-4.43504934969967e-001dB,-1.85393024668837e+001°)
2.14125963747382e+002	(-4.45473382738620e-001dB,-1.85797542637724e+001°)
2.14619081386899e+002	(-4.47450240367743e-001dB,-1.86202847641115e+001°)
2.15113334643051e+002	(-4.49435541008431e-001dB,-1.86608940606003e+001°)
2.15608726131087e+002	(-4.51429317919457e-001dB,-1.87015822456581e+001°)
2.16105258472277e+002	(-4.53431604467423e-001dB,-1.87423494114209e+001°)
2.16602934293929e+002	(-4.55442434126896e-001dB,-1.87831956497395e+001°)
2.17101756229402e+002	(-4.57461840480590e-001dB,-1.88241210521757e+001°)
2.17601726918119e+002	(-4.59489857219534e-001dB,-1.88651257099996e+001°)
2.18102849005580e+002	(-4.61526518143213e-001dB,-1.89062097141871e+001°)
2.18605125143379e+002	(-4.63571857159712e-001dB,-1.89473731554164e+001°)
2.19108557989217e+002	(-4.65625908285910e-001dB,-1.89886161240654e+001°)
2.19613150206913e+002	(-4.67688705647577e-001dB,-1.90299387102086e+001°)
2.20118904466423e+002	(-4.69760283479593e-001dB,-1.90713410036142e+001°)
2.20625823443851e+002	(-4.71840676126023e-001dB,-1.91128230937412e+001°)
2.21133909821464e+002	(-4.73929918040330e-001dB,-1.91543850697360e+001°)
2.21643166287704e+002	(-4.76028043785483e-001dB,-1.91960270204301e+001°)
2.22153595537208e+002	(-4.78135088034114e-001dB,-1.92377490343362e+001°)
